Date;High
2015-06-11;102,00 
2015-06-10;101,55 
2015-06-09;102,00 
2015-06-08;102,50 
2015-06-05;102,00 
2015-06-04;102,625 
2015-06-03;102,7519 
2015-06-02;103,00 
2015-05-29;103,20 
2015-05-28;103,00 
2015-05-27;103,30 
2015-05-26;103,50 
2015-05-22;103,20 
2015-05-21;103,375 
2015-05-20;103,50 
2015-05-19;104,25 
2015-05-18;103,219 
2015-05-15;103,25 
2015-05-14;103,125 
2015-05-13;104,75 
2015-05-12;102,95 
2015-05-11;103,625 
2015-05-08;103,125 
2015-05-07;102,75 
2015-05-06;103,25 
2015-05-05;104,25 
2015-05-04;103,38 
2015-04-30;103,50 
2015-04-29;104,00 
2015-04-28;104,00 
2015-04-27;103,625 
2015-04-24;103,75 
2015-04-23;103,375 
2015-04-22;104,705 
2015-04-21;103,25 
2015-04-20;103,35 
2015-04-17;103,00 
2015-04-16;103,45 
2015-04-15;103,50 
2015-04-14;103,875 
2015-04-13;103,875 
2015-04-10;103,875 
2015-04-09;104,00 
2015-04-08;104,75 
2015-04-07;103,50 
2015-04-06;103,125 
2015-04-02;103,125 
2015-04-01;103,11 
2015-03-31;102,75 
2015-03-30;104,25 
2015-03-27;102,375 
2015-03-26;102,50 
2015-03-25;102,80 
2015-03-24;104,375 
2015-03-23;101,875 
