date;shareprice
2015-08-18;523.242
2015-08-17;524.748

2015-08-14;525.124
2015-08-13;527.948
2015-08-12;524.38
2015-08-11;537.219
2015-08-10;543.453

2015-08-07;546.802
2015-08-06;549.315
2015-08-05;553.222
2015-08-04;541.685
2015-08-03;540.848

2015-07-31;539.359
2015-07-30;536.94
2015-07-29;536.382
2015-07-28;533.498
2015-07-27;524.845

2015-07-24;529.776
2015-07-23;538.894
2015-07-22;537.219
2015-07-21;545.593
2015-07-20;545.872

2015-07-17;539.824
2015-07-16;541.127
2015-07-15;533.405
2015-07-14;532.846
2015-07-13;535.172

2015-07-10;526.333
2015-07-09;524.752
2015-07-08;520.286
2015-07-07;519.728
2015-07-06;528.566

2015-07-03;533.032
2015-07-02;537.778
2015-07-01;531.172
2015-06-30;530.427
2015-06-29;536.94

2015-06-26;548.849
2015-06-25;552.943
2015-06-24;560.293
2015-06-23;559.084
2015-06-22;560.107

2015-06-19;549.687
2015-06-18;546.709
2015-06-17;549.687
2015-06-16;553.501
2015-06-15;558.247

2015-06-12;565.411
2015-06-11;568.76
2015-06-10;570.714
2015-06-09;570.993
2015-06-08;576.39

2015-06-05;575.831
2015-06-04;575.738
2015-06-03;581.786
2015-06-02;580.949
2015-06-01;580.763

2015-05-29;579.367
2015-05-28;580.204
2015-05-27;581.786
2015-05-26;574.064

2015-05-22;577.413
2015-05-21;571.737
2015-05-20;573.569
2015-05-19;567.86
2015-05-18;569.61

2015-05-15;568.044
2015-05-14;568.689
2015-05-13;565.374
2015-05-12;570.899
2015-05-11;582.225

2015-05-08;590.328
2015-05-07;580.936
2015-05-06;582.317
2015-05-05;576.332
2015-05-04;

2015-05-01;595.116
2015-04-30;596.773
2015-04-29;594.656
2015-04-28;596.129
2015-04-27;597.878

2015-04-24;579.831
2015-04-23;563.717
2015-04-22;559.389
2015-04-21;564.637
2015-04-20;564.729

2015-04-17;552.483
2015-04-16;558.744
2015-04-15;568.781
2015-04-14;567.492
2015-04-13;569.057

2015-04-10;563.625
2015-04-09;556.166
2015-04-08;540.512
2015-04-07;540.42
2015-04-06;

2015-04-02;536.185
2015-04-01;532.778
2015-03-31;528.542
2015-03-30;537.105

2015-03-27;532.685
2015-03-26;535.632
2015-03-25;537.29
2015-03-24;532.501
2015-03-23;532.87

2015-03-20;538.395
2015-03-19;531.396
2015-03-18;533.422
2015-03-17;525.043
2015-03-16;517.492

2015-03-13;516.848
2015-03-12;515.927
2015-03-11;517.308
2015-03-10;515.559
2015-03-09;521.636

2015-03-06;523.017
2015-03-05;525.411
2015-03-04;527.618
2015-03-03;522.937
2015-03-02;524.737

2015-02-27;519.696
2015-02-26;523.567
2015-02-25;519.786
2015-02-24;523.567
2015-02-23;519.606

2015-02-20;544.812
2015-02-19;541.841
2015-02-18;545.082
2015-02-17;542.651
2015-02-16;541.121

2015-02-13;538.51
2015-02-12;536.89
2015-02-11;533.019
2015-02-10;538.15
2015-02-09;549.673

2015-02-06;558.855
2015-02-05;552.194
2015-02-04;554.174
2015-02-03;555.885
2015-02-02;551.294

2015-01-30;548.773
2015-01-29;556.425
2015-01-28;556.515
2015-01-27;556.335
2015-01-26;564.527

2015-01-23;562.456
2015-01-22;558.405
2015-01-21;545.172
2015-01-20;536.26
2015-01-19;536.80

2015-01-16;534.73
2015-01-15;537.34
2015-01-14;531.219
2015-01-13;543.912
2015-01-12;542.561

2015-01-09;541.931
2015-01-08;545.712
2015-01-07;541.031
2015-01-06;534.459
2015-01-05;543.642

2015-01-02;550.933
2014-12-31;547.873
2014-12-30;548.413
2014-12-29;558.045

2014-12-24;552.914
2014-12-23;551.474
2014-12-22;550.933

2014-12-19;546.883
2014-12-18;537.25
2014-12-17;533.739
2014-12-16;543.282
2014-12-15;533.109

2014-12-12;543.192
2014-12-11;553.904
2014-12-10;558.945
2014-12-09;560.566
2014-12-08;575.509

2014-12-05;578.93
2014-12-04;565.337
2014-12-03;569.838
2014-12-02;572.269
2014-12-01;562.636

2014-11-28;573.439
2014-11-27;568.758
2014-11-26;570.738
2014-11-25;572.989
2014-11-24;565.877

2014-11-21;568.488
2014-11-20;562.906
2014-11-19;570.288
2014-11-18;576.14
2014-11-17;576.14

2014-11-14;578.57
2014-11-13;574.249
2014-11-12;572.179
2014-11-11;573.889
2014-11-10;572.269

2014-11-07;567.137
2014-11-06;572.269
2014-11-05;570.198
2014-11-04;562.006
2014-11-03;565.247

2014-10-31;575.689
2014-10-30;566.327
2014-10-29;565.337
2014-10-28;563.176
2014-10-27;559.936

2014-10-24;566.957
2014-10-23;569.028
2014-10-22;562.527
2014-10-21;557.268
2014-10-20;550.227

2014-10-17;556.02
2014-10-16;550.048
2014-10-15;549.959
2014-10-14;565.647
2014-10-13;564.042

2014-10-10;552.901
2014-10-09;557.803
2014-10-08;565.469
2014-10-07;562.26
2014-10-06;565.112

2014-10-03;563.508
2014-10-02;547.196
2014-10-01;553.079
2014-09-30;558.07
2014-09-29;566.003

2014-09-26;579.552
2014-09-25;576.254
2014-09-24;582.048
2014-09-23;580.889
2014-09-22;586.237

2014-09-19;591.496
2014-09-18;589.981
2014-09-17;585.256
2014-09-16;587.574
2014-09-15;586.683

2014-09-12;585.969
2014-09-11;583.295
2014-09-10;589.178
2014-09-09;588.733
2014-09-08;590.159

2014-09-05;588.643
2014-09-04;588.465
2014-09-03;586.415
2014-09-02;576.789
2014-09-01;577.145

2014-08-29;581.156
2014-08-28;576.70
2014-08-27;578.75
2014-08-26;578.215

2014-08-22;574.204
2014-08-21;571.262
2014-08-20;571.173
2014-08-19;572.584
2014-08-18;570.464

2014-08-15;568.257
2014-08-14;575.233
2014-08-13;563.665
2014-08-12;556.423
2014-08-11;552.715

2014-08-08;554.128
2014-08-07;555.187
2014-08-06;558.19
2014-08-05;559.867
2014-08-04;560.751

2014-08-01;555.717
2014-07-31;561.987
2014-07-30;566.49
2014-07-29;562.958
2014-07-28;557.13

2014-07-25;549.006
2014-07-24;548.388
2014-07-23;536.289
2014-07-22;534.17
2014-07-21;527.282

2014-07-18;529.137
2014-07-17;529.137
2014-07-16;534.347
2014-07-15;526.841
2014-07-14;529.313

2014-07-11;523.043
2014-07-10;520.129
2014-07-09;526.752
2014-07-08;524.986
2014-07-07;532.757

2014-07-04;536.289
2014-07-03;536.113
2014-07-02;530.991
2014-07-01;528.253
2014-06-30;523.573

2014-06-27;527.194
2014-06-26;525.074
2014-06-25;531.256
2014-06-24;534.612
2014-06-23;535.495

2014-06-20;538.144
2014-06-19;538.939
2014-06-18;538.762
2014-06-17;540.528
2014-06-16;540.44

2014-06-13;544.325
2014-06-12;548.388
