Date cocoprice shareprice
2016-06-30 1.05123996314881 0.867428156505711
2016-06-29 1.04119258897405 0.842945047988754
2016-06-28 1.04577675624146 0.825909272860986
2016-06-27 1.05929419534451 0.815483006116123
2016-06-24 1.05818394649226 0.834008247921728
2016-06-23 0.975270247998558 0.84611016467916
2016-06-22 0.983902503225072 0.826654006199905
2016-06-21 0.989589064159963 0.818834306141257
2016-06-20 0.99049433715283 0.814272814440379
2016-06-16 1.01721204374715 0.794071922622206
2016-06-15 1.01041582680414 0.792675547611733
2016-06-14 1.00415761591289 0.792023905940179
2016-06-13 1.00557688477007 0.802263989350313
2016-06-10 0.992623092227576 0.80757021439011
2016-06-09 0.985426557282971 0.825816181193621
2016-06-08 0.977752782810366 0.831680956237607
2016-06-07 0.977215666024814 0.831587864570242
2016-06-03 0.977557737090226 0.828143472877743
2016-06-02 0.977164829640309 0.830656947896594
2016-06-01 0.990455654073076 0.828236564545108
2016-05-31 0.976270672474958 0.828608931214567
2016-05-27 0.976270672474958 0.834939164595377
2016-05-26 0.973741451187585 0.830284581227134
2016-05-25 0.980823122581196 0.831122406233418
2016-05-24 0.965647943067992 0.808501131063758
2016-05-23 0.958889964571634 0.795468297632679
2016-05-20 0.958566271674381 0.799191964327273
2016-05-19 0.971212229900212 0.794165014289571
2016-05-18 0.961727761230839 0.798084173485631
2016-05-17 0.958566271674381 0.796434589139926
2016-05-16 0.94718484998672 0.785805382560207
2016-05-13 0.946324929570117 0.788004207743365
2016-05-12 0.94844938652489 0.776185289654723
2016-05-11 0.953507829099636 0.790111803092505
2016-05-10 0.952496140584687 0.793502201617933
2016-05-09 0.975157755824101 0.787730518241312
2016-05-06 0.966153787325467 0.791212146600758
2016-05-05 0.98676179048414 0.800007447333389
2016-05-04 0.988056710284186 0.800191768834771
2016-05-03 0.981328966838671 0.815585406950224
2016-05-02 0.975005987725755 0.815585406950224
2016-04-29 0.977181132853999 0.829238230885953
2016-04-28 0.989192451434208 0.856450787090048
2016-04-27 0.985133840491729 0.855076754079742
2016-04-26 0.989581060764152 0.860207966784893
2016-04-25 0.997869169970785 0.842157492482848
2016-04-20 1.00138414284224 0.852877928896584
2016-04-19 1.00112225394597 0.832077526740581
2016-04-18 1.00302543182767 0.821541411828227
2016-04-15 1.02967881483343 0.825572281025125
2016-04-14 1.00362138839353 0.826488303031996
2016-04-13 0.991064208576795 0.82117463065881
2016-04-12 0.983170785352481 0.769862503607302
2016-04-08 0.992906768145773 0.766014094078439
2016-04-07 0.996381131194035 0.762623695553011
2016-04-06 0.999051301174306 0.769495722437885
2016-04-05 0.996220766855744 0.765098072071569
2016-04-01 0.994952080408635 0.791670157604193
2016-03-31 1.01084415669108 0.795151785963638
2016-03-30 1.01350424832107 0.800925331173607
2016-03-29 1.01137623430149 0.792586179611063
2016-03-24 1.02148467142207 0.803215386190782
2016-03-23 1.01871816427 0.82117463065881
2016-03-22 1.02467669245143 0.820807849489392
2016-03-21 1.0174614829166 0.822824215004515
2016-03-18 1.02308075604227 0.822457433835097
2016-03-17 1.02414476305206 0.823190996173932
2016-03-16 1.01347134547162 0.83785107195055
2016-03-15 1.02946494631204 0.830063023058806
2016-03-14 1.0380837143345 0.829329460719971
2016-03-11 1.05207602158901 0.827130635536813
2016-03-10 1.05276757427151 0.816410199123076
2016-03-09 1.01084415669108 0.82511427002169
2016-03-08 1.0108111056306 0.822457433835097
2016-03-07 1.01749438576605 0.825296729689725
2016-03-04 1.02281471723706 0.831161504733711
2016-03-03 1.02414476305206 0.825572281025125
2016-03-02 1.02148467142207 0.836877333109913
2016-03-01 0.99775638137426 0.817979724634848
2016-02-29 0.978922760709136 0.815672913117547
2016-02-26 0.980981263753984 0.82933690805336
2016-02-25 0.961581328729701 0.7964178326398
2016-02-24 0.962754715482243 0.769801063106841
2016-02-23 0.977215666024814 0.783109447873321
2016-02-22 0.975141600821445 0.791271725267871
2016-02-19 0.976472387691607 0.798281527820445
2016-02-18 0.972357604767415 0.796507200640471
2016-02-17 0.973560337304598 0.810880554081604
2016-02-16 0.957202730165807 0.795352863965146
2016-02-12 0.879035490021247 0.78151199486134
