test date coco ed cd sa
1 2016-06-30 70.928587385509 43.181955715692 NA 61.916783985858
2 2016-06-29 70.2506840198181 38.7048658488445 NA 62.6924193667562
3 2016-06-28 70.5599759795826 35.4356113311602 NA 66.5153834059608
4 2016-06-27 71.4720194647202 33.3684647378135 NA 65.9482468369885
5 2016-06-24 71.3971074076793 37.0062348535716 NA 68.0065332473475
6 2016-06-23 65.8028111907014 39.2979973245578 NA 62.9529644612461
7 2016-06-22 66.385238646422 35.5813008215225 NA 65.4494403021113
8 2016-06-21 66.7689161554192 34.0385547307649 NA 63.6362197528125
9 2016-06-20 66.8299986389002 33.125153681873 NA 70.0730349476612
10 2016-06-16 68.6326791808874 28.9559639562221 NA 58.2439440615341
11 2016-06-15 68.1741335587489 28.66004234351 NA 63.6515733741227
12 2016-06-14 67.7518775683718 28.5215940295647 NA 64.3358908207466
13 2016-06-13 67.8476403865005 30.6716078228584 NA 63.3952358111693
14 2016-06-10 66.9736291335287 31.7645896733233 NA 58.6036367076243
15 2016-06-09 66.4880746629796 35.4173819626695 NA 61.0435167667539
16 2016-06-08 65.9703133589884 36.557988473036 NA 64.5473999224419
17 2016-06-07 65.9340659340659 36.5400072667093 NA 60.532463885422
18 2016-06-03 65.9571536818902 35.871906193658 NA 63.42496777878
19 2016-06-02 65.9306430400775 36.3599770783158 NA 65.78090024319
20 2016-06-01 66.8273900374636 35.8900348766909 NA 66.2395187764218
21 2016-05-31 65.8703071672355 35.9625095232859 NA 69.4162542086804
22 2016-05-27 65.8703071672355 37.1848448963944 NA 63.7265871762281
23 2016-05-26 65.6996587030717 36.2878537719741 NA 66.2841776831675
24 2016-05-25 66.1774744027304 36.4500417794906 NA 66.2833898530193
25 2016-05-24 65.1535836177474 31.9548846819591 NA 66.9805262433986
26 2016-05-23 64.6976109215017 29.2508626968032 NA 62.9876537159521
27 2016-05-20 64.6757679180887 30.0322991242941 NA 62.656544471892
28 2016-05-19 65.5290102389078 28.975655635678 NA 64.8485013504695
29 2016-05-18 64.8890784982935 29.8005719529808 NA 61.7140025580302
30 2016-05-17 64.6757679180887 29.4543366100628 NA 66.1561420886959
31 2016-05-16 63.9078498293515 27.1890298160728 NA 61.0605981236744
32 2016-05-13 63.8498293515358 27.6625814412667 NA 66.1581949120614
33 2016-05-12 63.9931740614334 25.0861321160677 NA 61.4092217100545
34 2016-05-11 64.3344709897611 28.1140493398474 NA 61.0950641435589
