date coco ed cd
2016-06-30 70.928587385509 61.9240160695807 77.3623141530091
2016-06-29 70.2506840198181 57.9798404088843 72.891689144235
2016-06-28 70.5599759795826 55.0998401003373 68.8353318565441
2016-06-27 71.4720194647202 53.2788638269547 65.9817139812023
2016-06-24 71.3971074076793 56.4834459462805 70.8602342275485
2016-06-23 65.8028111907014 58.5023603495072 73.5594499406919
2016-06-22 66.385238646422 55.2281811613694 69.0286894697768
2016-06-21 66.7689161554192 53.8691510694329 66.9282010820669
2016-06-20 66.8299986389002 53.0645301879281 65.6333521711266
2016-06-16 68.6326791808874 49.3919452323713 59.3551588668877
2016-06-15 68.1741335587489 49.1312766409128 58.8928410568829
2016-06-14 67.7518775683718 49.0093218355301 58.6760317791808
2016-06-13 67.8476403865005 50.9032177702439 61.999447413272
2016-06-10 66.9736291335287 51.866012619128 63.6434024104055
2016-06-09 66.4880746629796 55.083781462788 68.8110616156611
2016-06-08 65.9703133589884 56.0885711890291 70.2960598861775
2016-06-07 65.9340659340659 56.072730996808 70.2731937936665
2016-06-03 65.9571536818902 55.4841823126551 69.4110960913427
2016-06-02 65.9306430400775 55.9141370694411 70.0432725669926
2016-06-01 66.8273900374636 55.5001523215935 69.4348049534038
2016-05-31 65.8703071672355 55.5639970719593 69.5294142848927
2016-05-27 65.8703071672355 56.6407897871709 71.0818624534324
2016-05-26 65.6996587030717 55.850601587159 69.9506636669882
2016-05-25 66.1774744027304 55.9934776997836 70.1585194022874
2016-05-24 65.1535836177474 52.0336421786385 63.9257416469797
2016-05-23 64.6976109215017 49.6517134382309 59.8142815051211
2016-05-20 64.6757679180887 50.3400624137699 61.0221344213194
2016-05-19 65.5290102389078 49.4092910725845 59.3858677149136
2016-05-18 64.8890784982935 50.1359389288131 60.6653802145301
2016-05-17 64.6757679180887 49.8309483928845 60.1300641969011
2016-05-16 63.9078498293515 47.8355145561824 56.5756733016654
2016-05-13 63.8498293515358 48.2526474880624 57.3245282735282
2016-05-12 63.9931740614334 45.9831738795335 53.233916117602
2016-05-11 64.3344709897611 48.6503292184612 58.0360942726786
2016-05-10 64.2662116040956 49.285701452386 59.1669125669558
2016-05-09 65.7952218430034 48.2008514746556 57.2316691397066
2016-05-06 65.1877133105802 48.8571245447401 58.4050293788148
2016-05-05 66.578156996587 50.4899693650321 61.2833094817168
2016-05-04 66.6655290102389 50.5238107955367 61.3421700491133
2016-05-03 66.2116040955631 53.2969710432983 66.011032437858
2016-05-02 65.7849829351536 53.2969710432983 66.011032437858
2016-04-29 65.9317406143345 55.6717665396067 69.6884802125125
2016-04-28 66.7421590831103 60.1829966790802 75.55321263797
2016-04-27 66.4683222122859 59.9619804028999 75.3047221768656
2016-04-26 66.7683763027976 60.7838039153965 76.2073629501958
2016-04-25 67.3275862068966 57.8492252635856 72.7213251621131
2016-04-20 67.5647524477467 59.6068381739911 74.8966553390079
2016-04-19 67.5470767948896 56.1560113617079 70.3932122407385
2016-04-18 67.6754939050021 54.3425136296236 67.6727609993524
2016-04-15 69.473832698547 55.0416909441215 68.7473678601836
2016-04-14 67.7157001414427 55.1996449482861 68.9857912436904
2016-04-13 66.8684451326811 54.2785582957999 67.5729456196428
2016-04-12 66.3358671171171 44.7409205616001 50.9945839515678
2016-04-08 66.9927690344534 43.9749344390937 49.6215068731662
2016-04-07 67.2271888746985 43.2938067900106 48.4084102310219
2016-04-06 67.407354820389 44.6682416577809 50.8639750251404
2016-04-05 67.2163730276657 43.7914923269702 49.2939737442011
2016-04-01 67.1307719421925 48.9430350800562 58.5580586986367
2016-03-31 68.2030296503697 49.5929113146437 59.7104996561024
2016-03-30 68.3825113073444 50.658341011524 61.5757868680061
2016-03-29 68.2389259817647 49.1145630840249 58.8631466270036
2016-03-24 68.9209562782684 51.076765840931 62.2984170960412
2016-03-23 68.7342953550147 54.2785582957999 67.5729456196428
2016-03-22 69.1363342666379 54.2145467521377 67.4727950116183
2016-03-21 68.6495082202599 54.5657539686898 68.0192112308572
2016-03-18 69.0286452724532 54.501994639746 67.92057576916
2016-03-17 69.100437935243 54.6294574228591 68.1175072614511
2016-03-16 68.3802857347979 57.1307417580673 71.7601202653349
2016-03-15 69.4594012491923 55.8127713781095 69.8953880917536
2016-03-14 70.0409218177902 55.6873765766696 69.7114540030853
2016-03-11 70.9849953334769 55.3102001710794 69.1516860351281
2016-03-10 71.0316605642903 53.4426535341131 66.246271757112
2016-03-09 68.2030296503697 54.9625846143022 68.6273468794028
2016-03-08 68.2008040778232 54.501994639746 67.92057576916
2016-03-07 68.6517337928064 54.9941088649516 68.6752246145662
2016-03-04 69.0106971067557 56.0001383345955 70.1681740890024
2016-03-03 69.100437935243 55.0416909441215 68.7473678601836
2016-03-02 68.9209562782684 56.9672753919977 71.5358462466702
2016-03-01 67.3199798980544 53.7190796818821 66.689419534418
2016-02-29 66.0492497666738 53.3124409395454 66.0360667212935
2016-02-26 66.1881402395037 55.6886507163212 69.7133284513038
2016-02-25 64.8792028102373 49.827843917942 60.124601903616
2016-02-24 64.9583692219351 44.7287506755158 50.9727096664582
2016-02-23 65.9340659340659 47.3209311594105 55.6491906873491
2016-02-22 65.7941280509374 48.8683054352908 58.4249537126757
2016-02-19 65.8839198093369 50.1723445852541 60.7290998534832
2016-02-18 65.6062926353891 49.8443996327047 60.1537284984522
2016-02-17 65.6874388710354 52.4603827859327 64.6387986026966
2016-02-16 64.5837701824282 49.6302732918401 59.7764512787088
2016-02-12 59.3097247198783 47.0143709864838 55.0962359681519
