test date coco ed cd
88 2016-02-17 65.6874388710354 49.2780625767929 64.6387986026966
89 2016-02-16 64.5837701824282 45.7309055448418 59.7764512787088
90 2016-02-12 59.3097247198783 42.4629699605279 55.0962359681519
91 2016-02-11 61.1707655005196 33.4708166484216 42.3336337590151
92 2016-02-10 63.1051175656985 42.8876870587086 55.7102397013101
93 2016-02-09 62.4827395747031 39.045141825876 50.1495882613738
94 2016-02-08 62.9871937639198 41.6299278784225 53.8897712458637
95 2016-02-05 65.1671039911614 49.6361145589065 65.1104244521529
96 2016-02-04 64.6522156674441 50.2892950376851 65.9598422695205
97 2016-02-03 65.6181469298246 46.2454416062321 60.4997433242264
98 2016-02-02 67.2996661101836 53.4354262926563 69.824596205237
99 2016-02-01 67.1724906028122 59.6624960945831 76.1025935980155
100 2016-01-29 68.0178332276027 62.4609650611985 78.2481196808656
101 2016-01-28 67.4172921879344 57.207249063726 73.8673419526529
102 2016-01-27 67.6988357413382 58.1054766319347 74.72285577561
103 2016-01-26 68.7832460732984 56.0404062309731 72.6925653760025
104 2016-01-25 68.164295226747 55.6482774472322 72.2820647116691
105 2016-01-22 67.85988416719 57.9046096706056 74.5352846875533
106 2016-01-21 67.916519278387 54.8027924209719 71.3708600789732
107 2016-01-20 68.3772733681094 52.7445134104758 69.0108639954207
108 2016-01-19 68.5803167420814 61.1779096125285 77.3178329638244
109 2016-01-15 68.6726777102118 60.1284636706603 76.4897182627323
110 2016-01-14 68.6097408462447 65.7908536814055 80.2513409157802
111 2016-01-13 68.6933037878263 66.7313297521051 80.7145762242999
112 2016-01-12 68.9997215648058 66.8315673947482 80.7614215577352
113 2016-01-11 68.8183882733466 64.3629944808448 79.4634208324061
114 2016-01-08 68.7757909215956 64.8071885929493 79.7197209218391
115 2016-01-07 68.4813950295208 65.7908536814055 80.2513409157802
116 2016-01-06 68.4815499418087 67.8941112546731 81.2290075113036
117 2016-01-05 68.4863794633713 72.5037794728765 82.7074694374409
118 2016-01-04 68.4185444890735 71.8088957188989 82.5357192360134
119 2015-12-30 66.4319404769813 77.1698190322955 83.5010179899171
120 2015-12-29 66.5847339400784 79.1845173492309 83.6952812716199
121 2015-12-23 67.5911778383047 78.0938061843821 83.598823192906
122 2015-12-22 66.3987245067428 74.6810970284042 83.1483345975486
123 2015-12-18 66.2824686109081 74.5580841514655 83.1270251059132
124 2015-12-17 67.3287716734206 75.324857429582 83.2534819044371
125 2015-12-16 66.0665648043579 71.9355257897353 82.5682323219972
126 2015-12-15 66.0997807745964 68.9776120701864 81.653322085207
127 2015-12-14 66.2658606257889 63.1048018748086 78.6811682528613
128 2015-12-11 66.5149804025775 64.4316022619746 79.5036766113792
129 2015-12-10 66.3655085365044 68.7162101531027 81.5556381851704
130 2015-12-09 66.5315883876968 68.9776120701864 81.653322085207
131 2015-12-08 66.8305321198432 68.9776120701864 81.653322085207
132 2015-12-07 66.805287982462 72.1882814872563 82.6314956545906
133 2015-12-03 66.6392081312695 73.9402806793242 83.0137992010663
134 2015-12-02 66.7641001793662 77.9748723359297 83.5871070202248
135 2015-12-01 66.68106025377 77.5286144658076 83.5408827254286
136 2015-11-30 66.68106025377 74.6504395217301 83.1430612391132
137 2015-11-25 66.3658083355455 75.9944826898808 83.3520840207566
138 2015-11-24 66.6932112283496 74.8348796510444 83.1744152190843
139 2015-11-20 65.9624104619833 75.1413738757337 83.2245801768608
140 2015-11-19 65.6260215756783 73.2869864660599 82.8822635143537
141 2015-11-18 65.9884294260732 71.9355257897353 82.5682323219972
142 2015-11-17 65.723204310968 71.427658073036 82.4344652084249
143 2015-11-16 65.7981313330701 68.8795839776911 81.6170321273852
144 2015-11-13 65.7344037904712 69.4986304802171 81.8394180333126
145 2015-11-12 66.045807555614 71.9989436577606 82.5843088792673
146 2015-11-10 66.3600264725347 72.75503056708 82.7656508788167
147 2015-11-09 66.6865236960551 74.0640998227188 83.037338672868
148 2015-11-06 66.9065463951714 74.1261109399853 83.0489657930861
149 2015-11-05 66.1377049180328 70.6928881919974 82.2245597317551
150 2015-11-04 65.5713728549142 71.3959306447572 82.4258072601241
151 2015-11-03 65.3451522826158 66.7646370052931 80.7301953680067
152 2015-11-02 65.2223230490018 66.2958792197849 80.5054615115877
153 2015-10-30 66.1847230474682 67.6627431368668 81.1316342793782
154 2015-10-29 66.1847230474682 69.3687262611092 81.7940769788883
155 2015-10-28 66.1913250148544 70.1783447422388 82.0655020854956
156 2015-10-27 66.0856935366739 68.9450613905744 81.641317191512
157 2015-10-26 65.9371492704826 69.466256133658 81.8281833177205
158 2015-10-23 65.8546246781541 71.0448893120086 82.327591347938
159 2015-10-22 65.316168218129 66.998515955425 80.8383822318837
160 2015-10-21 65.194427939526 67.2391554887296 80.9469975805135
161 2015-10-20 65.1119033471975 68.1539537205431 81.3354821219129
162 2015-10-19 65.0458836733347 68.7052170653321 81.5514659069634
163 2015-10-16 65.6895754934971 69.8940765747137 81.9732025849139
164 2015-10-15 64.6992803855549 69.253335652218 81.7532158581448
165 2015-10-14 64.4517066085694 68.1539537205431 81.3354821219129
166 2015-10-13 65.029378754869 69.7344625280661 81.9199650559349
167 2015-10-09 64.8148148148148 73.4051217630693 82.9069827071874
168 2015-10-08 64.3526770977751 72.5704488648968 82.7231061993795
169 2015-10-07 64.4517066085694 72.3220164576413 82.6641011767104
170 2015-10-06 63.7089852776127 70.0219153736273 82.0151067292471
171 2015-10-05 63.7089852776127 69.9900564220533 82.0047245271186
172 2015-10-02 63.2138377236416 65.5504851400334 80.1259475823119
173 2015-10-01 63.3788869082987 63.9676492419427 79.2266508500593
174 2015-09-30 63.4614115006272 62.4964991992247 78.2726051611298
175 2015-09-29 62.962412471925 57.8562489514274 74.4898014579782
176 2015-09-28 64.6457990115321 59.0772134672849 75.599457340867
177 2015-09-25 64.172268353763 64.1709231490598 79.3494145908538
178 2015-09-24 63.7922009945041 58.7733793538539 75.3308819623714
179 2015-09-23 65.3530377668309 62.5137121346729 78.2844414176898
180 2015-09-22 65.106882168926 58.5223940657396 75.1052321166273
181 2015-09-21 64.5505037458021 61.2476742457885 77.3707356128363
182 2015-09-18 64.1642605068977 59.6817198165239 76.118800615281
183 2015-09-17 65.0773195876289 63.7975684732041 79.1222596680497
184 2015-09-16 64.2079144109307 67.33782226588 80.9907478771062
185 2015-09-15 64.8726964901999 65.9171802996207 80.3160872883739
186 2015-09-14 64.899499447442 63.2175750584314 78.7547202129106
187 2015-09-11 64.7643163225555 64.4079003281949 79.4897971880141
188 2015-09-10 64.650981917169 64.7116376740492 79.6654506305646
189 2015-09-09 64.9889380530973 69.2212200861051 81.7417447401884
190 2015-09-08 64.8642489745426 64.3741330626554 79.469973112148
191 2015-09-04 65.5726901278503 60.6874206359159 76.938336071315
192 2015-09-03 65.4058313632782 65.2158863197335 79.9465602887207
193 2015-09-01 64.9265905383361 62.5997314484056 78.343350608798
194 2015-08-31 65.0481959098606 62.5997314484056 78.343350608798
195 2015-08-28 64.9016542920412 69.1569566833456 81.7186614393381
196 2015-08-27 64.8864892994211 69.4781847965912 81.8323278774016
197 2015-08-26 63.5415996396628 61.630866414263 77.6565442274526
198 2015-08-25 63.7064407211569 65.3497220197668 80.018992259467
199 2015-08-24 62.2696657771 58.6477757371063 75.2183851137025
200 2015-08-21 63.5768985322272 69.9578477676471 81.9941873874744
201 2015-08-20 63.6851177935261 74.3242088586842 83.0853946313148
202 2015-08-19 64.3309251326641 75.9559735794513 83.3466971007634
203 2015-08-18 63.9653740497029 80.459086139054 83.7856524589228
204 2015-08-17 64.1002628373614 80.9148084689025 83.8128896488617
205 2015-08-14 64.1539052989043 81.0282394288796 83.819292040629
206 2015-08-13 64.2485882956879 81.8757695138099 83.8627208175059
